row_id,x,y,accuracy,time,place_id
22162,2.4325,1.0404,65,542686,1728965731
22395,2.1989,1.1765,17,226929,9764078387
23030,2.105,1.4788,51,46795,2074133146
23498,2.1092,1.1197,197,453344,4330659730
23671,2.0669,1.0055,141,501580,5600661085
23729,2.4794,1.2536,15,609625,4899905409
23772,2.3495,1.3114,267,558441,8099882727
24182,2.0368,1.0499,65,724481,6709409787
24838,2.4732,1.1349,10,68423,6828787147
25163,2.3075,1.0315,65,587357,1168869217
25173,2.0049,1.0596,10,152019,5108076746
25617,2.0923,1.2465,27,339548,3910675283
25658,2.0548,1.2417,63,420587,9081742495
25871,2.1639,1.3174,52,80424,4182637650
26078,2.0286,1.1091,94,488082,5781604363
26688,2.3878,1.4748,97,696658,1853388867
27261,2.0865,1.0496,79,651065,4336717042
27300,2.4156,1.497,58,591918,3706167200
28117,2.1083,1.3618,180,334184,1577178217
28310,2.3025,1.3562,30,80695,2911888353
28344,2.0807,1.2904,102,770307,6854303457
28513,2.457,1.1272,19,215542,8670584806
29646,2.1776,1.2967,161,684343,3190058760
29839,2.0256,1.07,35,687538,2164082478
30003,2.1988,1.2928,79,30276,4606837364
30235,2.363,1.1783,20,532107,6438240873
30308,2.3481,1.2158,39,647646,3828550150
30606,2.0814,1.0514,70,692837,5600661085
31120,2.2416,1.1244,68,663005,3588028567
31316,2.3166,1.224,17,761953,1219514528
33489,2.1493,1.3197,6,326480,8790355618
33892,2.0835,1.2332,65,5706,1380291167
34242,2.2015,1.3482,72,487967,7240847236
34418,2.3493,1.1693,74,599747,4861093827
34446,2.0844,1.44,101,697320,5232128865
34804,2.3182,1.0613,33,705765,8032468532
34936,2.0997,1.4483,156,370518,5628219504
35707,2.1961,1.3542,61,522868,7240847236
36587,2.2889,1.3958,66,564692,9060493227
36765,2.1848,1.3589,65,371969,2911888353
36834,2.3136,1.2584,65,178879,2585551753
37619,2.1714,1.2944,1,714531,3190058760
37959,2.223,1.4331,69,22452,6099835393
38270,2.0526,1.1707,6,661139,2607294907
38650,2.4719,1.4502,10,672627,5586093579
38843,2.1041,1.2367,66,159852,1380291167
39037,2.4386,1.351,74,456781,1188605085
39188,2.2412,1.4508,72,161960,7038685199
39297,2.3886,1.1422,43,618069,5600621154
39322,2.3406,1.2253,178,518596,4233534513
39426,2.1979,1.2741,33,476791,4374582281
39695,2.4813,1.2604,77,643324,2571962720
40040,2.2088,1.1471,67,400220,3513732261
40500,2.1198,1.2906,5,154240,6854303457
40550,2.1258,1.2285,41,605049,3997372701
40906,2.2096,1.3416,68,221448,7240847236
41327,2.1324,1.3012,200,666375,8790355618
41388,2.2861,1.3811,19,78596,7663031065
42234,2.041,1.1477,12,59640,4231692509
42509,2.0543,1.1377,23,773672,6505686905
43638,2.0107,1.2157,55,119604,5156008172
43697,2.0995,1.0571,41,741721,4336717042
43842,2.269,1.1448,67,369202,3513732261
44521,2.3343,1.3088,110,701050,8525624794
44735,2.4763,1.1649,36,394452,6396652784
45579,2.2037,1.1691,63,204617,2607294907
45883,2.3082,1.2477,58,62351,2585551753
46008,2.3883,1.3688,8,212036,4659529541
46049,2.4255,1.0996,20,663695,8940024726
46389,2.0547,1.2338,7,9701,9081742495
46519,2.3356,1.0501,13,57870,8032468532
47015,2.1861,1.2533,53,605235,4143194894
47343,2.4809,1.4788,60,517273,9205242790
47693,2.472,1.4759,190,532533,3178785922
47886,2.0611,1.4745,28,366867,4142372393
48028,2.2791,1.0778,3,244935,7929669489
48176,2.0988,1.4111,3,7895,7278590122
48188,2.1618,1.1509,8,151785,4231692509
48212,2.4368,1.0949,489,610946,8940024726
49367,2.212,1.2898,18,483856,4606837364
49559,2.2985,1.1324,63,651625,3588028567
49612,2.1986,1.4205,66,266306,9185047092
50038,2.0972,1.0156,9,226903,6896906036
50054,2.3254,1.2457,11,584,4233534513
50567,2.4805,1.0916,30,498762,7637611146
50997,2.425,1.3583,75,274801,1912601713
52501,2.4374,1.2114,156,475867,5301169969
52544,2.167,1.303,76,403372,5111412226
52561,2.0867,1.4479,3,602269,5205288357
52565,2.4398,1.2276,59,278804,1272823671
53089,2.3741,1.4386,6,230481,9904847340
53184,2.1214,1.0064,39,263395,6896906036
53376,2.0869,1.0706,73,40361,4336717042
54344,2.3795,1.1765,57,593491,6438240873
54673,2.2275,1.3703,29,276831,4568745791
54873,2.0822,1.1812,56,379046,3229876087
54991,2.0077,1.0199,9,412705,4255947450
55174,2.4618,1.2412,171,105563,7849151474
55517,2.3215,1.4501,65,605283,7600299291
55529,2.3388,1.3481,67,98239,4951395211
55978,2.3095,1.0708,76,372023,9373984994
56167,2.1687,1.3747,61,652161,7503509440
56230,2.0005,1.4986,57,379519,6936126097
57486,2.0044,1.2184,65,593490,5156008172
57544,2.1985,1.3447,77,471254,7021663947
57644,2.0221,1.4629,12,72134,5232128865
58053,2.4287,1.3471,72,7866,1188605085
58235,2.2075,1.3426,63,214689,7240847236
58253,2.2238,1.1969,22,337180,9817571734
58655,2.223,1.3605,14,354889,1082319594
59406,2.1949,1.2776,65,640766,3190058760
59506,2.2549,1.4328,1,744193,6466855273
59804,2.2716,1.0805,12,602024,7929669489
61064,2.1457,1.3066,53,567365,5256855055
61761,2.202,1.3294,64,763331,4712992402
62294,2.487,1.2722,3,417232,7871954785
62468,2.1947,1.0522,65,302953,7810150060
63055,2.2677,1.1306,10,240699,6929893314
63663,2.2819,1.2517,62,74705,5448001036
64125,2.3251,1.2554,159,157451,2585551753
64847,2.4397,1.3616,70,184260,4659529541
64866,2.046,1.0641,4,367688,5108076746
65082,2.1952,1.2111,91,192713,3973396876
65094,2.214,1.2276,55,196687,1113063429
65585,2.1942,1.4379,125,782430,7231372582
65636,2.3589,1.4425,67,200641,7600299291
66679,2.2273,1.345,7,313957,7240847236
66965,2.0966,1.4222,7,536100,6492209794
67739,2.313,1.26,109,148721,2585551753
67820,2.1285,1.3367,108,448459,5322602122
67909,2.4229,1.1719,73,762974,3953687520
67965,2.1517,1.3425,45,710086,1577178217
68191,2.3292,1.2526,153,596555,2585551753
68292,2.3253,1.0128,65,459766,4628671813
68307,2.1149,1.1678,60,386609,4231692509
68359,2.4844,1.0433,56,532223,1663763627
68552,2.4147,1.1821,69,755905,6396652784
69010,2.2543,1.2262,69,101194,6077280048
69178,2.3503,1.2457,144,541879,4233534513
69460,2.4125,1.3654,67,704949,1536494374
69967,2.4797,1.4636,58,776809,6784598378
71066,2.1372,1.1505,55,510045,3229876087
72140,2.1609,1.2863,25,564744,5111412226
72200,2.4385,1.4913,64,564083,3178785922
73309,2.3354,1.4655,14,743451,4386750363
74832,2.2373,1.0311,79,476386,4628671813
75231,2.0291,1.4813,61,285485,6936126097
75360,2.0338,1.1924,443,181529,3229876087
75943,2.4461,1.1696,15,374533,2137941546
76036,2.4378,1.355,78,368907,1536494374
76213,2.4922,1.1339,24,210442,3135205757
76410,2.31,1.3032,15,171065,3695846783
76531,2.0355,1.4808,68,362851,6691588909
77205,2.3592,1.0748,165,669576,2361723238
77677,2.4318,1.3338,63,7482,1188605085
77937,2.0548,1.1258,67,523797,4868301943
80666,2.2853,1.0639,63,145867,1168869217
80682,2.4874,1.4432,42,505919,5210119215
80986,2.1305,1.108,30,202296,5063967094
81015,2.0312,1.4897,81,440029,6936126097
81221,2.1211,1.4588,57,292137,2074133146
81481,2.2795,1.3936,13,84175,6706708436
81870,2.309,1.0704,31,695698,2809108094
82168,2.358,1.2273,68,701080,3828550150
82697,2.3402,1.0684,27,647073,8032468532
82890,2.3378,1.3591,73,233549,1536494374
83432,2.3501,1.4622,213,680413,1533408099
84703,2.0374,1.0699,55,713590,9778673479
85417,2.0165,1.4502,34,389403,6936126097
86187,2.0681,1.2872,48,764402,6854303457
86397,2.2899,1.3801,6,43917,6706708436
86706,2.4114,1.2161,40,608446,5304570159
87153,2.3292,1.1009,21,355651,8601126344
87561,2.089,1.0722,414,448028,4336717042
87611,2.3509,1.1713,63,758173,4861093827
87749,2.0817,1.3479,167,145330,1577178217
87867,2.0338,1.4269,49,288272,6492209794
88482,2.4045,1.0027,139,736352,3218914434
88771,2.1445,1.2076,60,745727,3086382532
88782,2.227,1.3085,73,171645,7444820426
89056,2.398,1.2947,57,774655,7097086698
89360,2.3687,1.1822,63,375411,3020291657
89655,2.4418,1.3531,67,7590,1188605085
90102,2.4324,1.1921,168,606215,6396652784
90266,2.4963,1.2061,9,78344,7834777560
90902,2.3233,1.1307,67,327290,1935182397
91705,2.3936,1.3096,50,116129,3695846783
92681,2.3193,1.1129,65,307132,8862329731
92775,2.3301,1.2151,15,617269,3828550150
93180,2.4677,1.2428,165,195015,7849151474
93324,2.3555,1.3321,11,74420,6644108708
93665,2.4325,1.0482,20,434979,9278137669
94743,2.2794,1.241,200,347492,4233534513
94817,2.2975,1.145,67,473258,8519219195
95228,2.145,1.3203,58,639346,8790355618
95691,2.3726,1.4495,82,51821,4626375496
95828,2.1956,1.0486,89,739185,7810150060
95983,2.4811,1.2801,71,457282,7871954785
98293,2.1905,1.301,102,767649,5111412226
98494,2.333,1.1293,57,713395,6940115252
98707,2.0426,1.2965,159,773246,7605688218
99605,2.2926,1.3605,38,491057,8074414179
100976,2.152,1.0687,53,626181,8904074677
101054,2.4254,1.1913,81,503799,6396652784
101093,2.0931,1.3786,41,668365,7021063988
101306,2.0905,1.1578,9,305693,9764078387
101710,2.1068,1.3456,24,135537,4712992402
102544,2.4663,1.3686,179,661237,9333530674
103007,2.0162,1.0519,65,494298,4477046697
103768,2.1136,1.4049,72,371195,4338887860
103956,2.0568,1.0762,51,223502,4336717042
104069,2.4859,1.4529,5,160553,3465711565
104348,2.0503,1.2548,1,93519,7896098190
104990,2.3751,1.2998,12,121934,6644108708
105645,2.2777,1.4446,70,246748,4519537359
105987,2.1342,1.2548,51,424134,1214974606
106315,2.4196,1.3332,32,612737,3311763279
107556,2.3292,1.2612,62,707418,2585551753
107673,2.0862,1.365,32,584926,3297144794
107778,2.2079,1.1097,172,15073,1732563460
107936,2.2788,1.4625,46,129085,8653170713
108449,2.1186,1.4401,32,41447,7644714882
108529,2.0284,1.4551,43,587746,6936126097
109290,2.2449,1.4634,106,118718,8653170713
109821,2.3144,1.4647,65,747844,3002774559
110666,2.01,1.0294,9,142598,6955509516
110673,2.4987,1.1274,3,567641,3135205757
110723,2.1339,1.0438,40,548435,5906186883
110831,2.0129,1.2061,64,30411,4729896908
110839,2.429,1.2764,70,742748,7097086698
111006,2.0725,1.0336,65,691894,5108076746
111226,2.351,1.1673,171,351690,4861093827
111799,2.4246,1.1744,66,630311,5733965825
111877,2.0488,1.4774,108,618328,5232128865
112153,2.2971,1.3873,74,437030,6706708436
112660,2.0438,1.4668,62,760512,6936126097
112813,2.2775,1.4738,64,246168,2517696955
112848,2.0005,1.3189,64,141068,5334589752
113026,2.1956,1.3708,65,655429,1577178217
113402,2.4935,1.1623,288,265230,3596456849
113751,2.0074,1.1802,159,226964,9764078387
114193,2.1577,1.3018,64,576112,5111412226
114233,2.335,1.0498,72,596573,8032468532
115814,2.3377,1.3748,17,509355,8074414179
116127,2.4029,1.09,17,544220,1034200626
116800,2.3833,1.1365,12,98044,3109132734
116966,2.0784,1.2255,59,653736,1380291167
117178,2.2341,1.1688,10,197354,1031277804
117424,2.3294,1.049,166,435429,8032468532
117784,2.005,1.2032,73,723026,5156008172
118255,2.0648,1.4192,7,315276,7021063988
118368,2.1978,1.1096,38,277372,3109132734
118437,2.0886,1.346,156,609173,1577178217
118723,2.4798,1.1112,8,151104,3135205757
118977,2.0024,1.1175,30,329437,3047002443
119117,2.142,1.4013,70,778840,7021063988
119748,2.0077,1.2329,165,186761,7004204555
119793,2.3362,1.0511,8,118321,8032468532
119842,2.2324,1.3868,61,270552,9639680342
120079,2.4491,1.0844,49,329396,3411026024
120223,2.1888,1.2499,168,239718,9110155624
120646,2.0667,1.2959,22,43177,6854303457
121536,2.213,1.0511,19,616762,7810150060
121685,2.2855,1.0569,60,32222,8032468532
121832,2.1207,1.4499,153,581318,7644714882
121919,2.0162,1.186,185,312314,2082127512
122221,2.2061,1.2943,175,219008,4606837364
122607,2.2166,1.1945,2,680675,3997372701
122668,2.1904,1.291,65,675587,5111412226
123199,2.0324,1.3179,54,414006,2935504324
123269,2.1528,1.3042,60,666400,5111412226
124153,2.4042,1.4352,79,610597,9144333839
124265,2.0857,1.1591,41,305802,4231692509
124290,2.3386,1.1681,59,413786,4861093827
124341,2.4041,1.3675,69,141889,1536494374
125121,2.2972,1.24,4,179820,5448001036
125251,2.4431,1.3765,174,249945,1536494374
125280,2.2551,1.0163,77,459744,4628671813
126287,2.304,1.2351,43,746355,1219514528
126674,2.0687,1.0827,5,393356,4336717042
126723,2.2914,1.2389,19,465,4233534513
126958,2.0173,1.3313,69,289225,2494678001
127473,2.4782,1.0339,41,537171,2178744887
128092,2.119,1.1809,162,224194,9764078387
128704,2.2545,1.3926,33,610172,7663031065
129353,2.3657,1.2186,58,485038,4028357018
129383,2.1565,1.3712,9,710453,5484006387
129525,2.1063,1.4975,65,758102,4325915199
129746,2.3583,1.3029,9,57084,6644108708
130256,2.4915,1.1965,38,468981,6396652784
130406,2.3922,1.375,70,513116,1536494374
130529,2.4787,1.015,75,320629,1663763627
130713,2.4051,1.2056,146,726508,5301169969
130790,2.0763,1.3376,72,661514,6668865877
130823,2.0529,1.053,21,761529,5108076746
131169,2.1344,1.2443,33,396408,5313490064
131226,2.2183,1.1717,169,379353,1841689795
131448,2.0653,1.2549,577,213185,9081742495
131621,2.0128,1.1119,17,667834,2353037541
131787,2.0927,1.3984,67,785479,7323905251
131848,2.3752,1.1105,57,485232,1034200626
132232,2.078,1.1228,8,403932,3047002443
132614,2.3725,1.4857,60,697072,1853388867
133742,2.3782,1.0103,95,771184,2112291371
133786,2.4582,1.4991,30,533734,2471811203
133888,2.1471,1.1095,58,146248,4110044452
134482,2.4881,1.0332,8,6678,1663763627
134539,2.266,1.0981,72,254359,1732563460
134964,2.1928,1.4677,65,706617,8415168810
135087,2.0076,1.1718,61,392553,2082127512
135397,2.0451,1.181,7,507086,3229876087
135419,2.2634,1.2616,1,316343,9773056775
135533,2.1667,1.2814,7,326623,1804841714
135886,2.1819,1.1563,206,67001,2187764354
136211,2.3584,1.1741,72,502145,4861093827
136268,2.0782,1.0774,169,133941,4336717042
136684,2.0233,1.3302,67,325693,4435141062
137995,2.2751,1.2425,39,135139,8505496580
138040,2.4569,1.3416,64,341963,7754306468
138293,2.0423,1.353,262,408873,5334589752
138388,2.1109,1.1025,76,199554,3047002443
138529,2.3121,1.1163,7,421196,7706750031
138683,2.1027,1.2142,53,14731,2337680907
139026,2.0148,1.0698,5,69748,9303466586
139030,2.3864,1.354,74,334319,4659529541
140139,2.3271,1.4654,68,372058,4386750363
140420,2.0565,1.3751,13,320384,8904900131
141630,2.3644,1.0147,13,497834,9327341696
142049,2.4143,1.1899,49,269114,3974542317
142236,2.1625,1.3053,13,412073,2343525997
142559,2.3236,1.1276,266,289412,1935182397
143237,2.0244,1.4797,14,69552,6936126097
143309,2.1656,1.2651,161,668928,9773056775
144329,2.1108,1.2188,60,446183,3086382532
144964,2.1074,1.3119,68,755845,8790355618
145164,2.1032,1.2147,63,136945,2337680907
146168,2.085,1.0703,7,89447,4336717042
147583,2.2583,1.2344,150,207824,1272823671
148326,2.0334,1.0348,64,64726,5600661085
148532,2.1044,1.0479,74,220317,8106965613
148720,2.0182,1.4043,77,164720,7021063988
148787,2.1735,1.4848,383,520654,4325915199
149221,2.0933,1.3714,74,521385,8156816094
149250,2.3293,1.2497,213,600961,2585551753
150456,2.3739,1.4756,14,591720,1853388867
150626,2.1797,1.0248,6,707992,8687844587
150700,2.057,1.3278,266,77939,5334589752
150810,2.0802,1.337,29,516879,5334589752
151369,2.136,1.0337,14,214918,5906186883
151391,2.4721,1.0477,51,634960,7637611146
151693,2.238,1.1638,36,299827,4650375348
151734,2.2708,1.2344,153,10482,4233534513
151810,2.3899,1.2749,496,400635,6215057357
151829,2.036,1.0278,63,271066,6709409787
152984,2.3588,1.3189,575,569536,6644108708
154340,2.1329,1.1618,69,159411,4231692509
154632,2.3335,1.306,31,635688,1395411566
155168,2.1831,1.3112,62,87350,9935755425
155450,2.0377,1.0852,23,355742,2164082478
155559,2.2434,1.3403,69,302087,5335193549
155886,2.2661,1.0769,66,38986,7929669489
156186,2.4228,1.2006,6,72871,7312165178
156540,2.0752,1.1335,65,735015,4231692509
156645,2.3629,1.1683,20,445668,4861093827
156705,2.1718,1.3251,165,450598,4182637650
156816,2.0267,1.1043,67,670918,5781604363
157426,2.0928,1.4969,3,114714,5032873263
157592,2.1409,1.1373,813,228673,7463831010
157777,2.3115,1.0964,60,540381,3588028567
158015,2.3489,1.3826,12,242288,4659529541
158503,2.0277,1.3415,115,549153,5992403068
158615,2.3439,1.464,70,167991,1533408099
158951,2.3653,1.3466,29,209606,3250088768
159053,2.202,1.3889,101,666891,7021063988
159169,2.0162,1.3911,38,466686,7021063988
159686,2.3099,1.1268,64,417988,3588028567
159903,2.39,1.3286,65,179620,1536494374
159917,2.3341,1.4572,38,530198,9846189806
160709,2.0192,1.2979,79,397327,4435141062
161301,2.3424,1.1788,59,485982,4861093827
161909,2.074,1.4331,71,211928,3348890121
162207,2.3527,1.1659,163,593129,8072176981
162391,2.4954,1.0296,76,367761,1663763627
162468,2.082,1.0657,64,620849,4336717042
162709,2.4947,1.2678,63,577799,6787040850
163232,2.1291,1.2999,67,87917,5256855055
163234,2.1829,1.2735,64,471411,1214974606
163468,2.2572,1.453,65,622337,7038685199
164381,2.3105,1.2581,66,137287,5943393344
164579,2.3074,1.2442,38,239480,4233534513
165672,2.3987,1.3705,70,234832,4659529541
165683,2.152,1.1721,7,213677,9764078387
165695,2.0703,1.4297,71,316227,3348890121
166653,2.2471,1.2486,30,670418,9773056775
166847,2.0567,1.0365,11,138494,6709409787
167190,2.0486,1.1563,60,472757,6505686905
168073,2.3224,1.027,9,361714,9386144778
169139,2.139,1.2498,9,404274,3910675283
169461,2.1146,1.1941,60,767789,2337680907
169516,2.2613,1.0714,73,204977,7929669489
169526,2.33,1.2562,113,165268,5943393344
169703,2.4962,1.0398,68,779242,2725217975
170577,2.3404,1.1332,142,522760,6940115252
170633,2.2604,1.4647,28,776677,5720905377
170842,2.4243,1.1762,26,81945,6396652784
171085,2.3154,1.3974,9,137293,1898134338
171647,2.0871,1.3268,4,422848,5334589752
173103,2.464,1.111,56,58576,6828787147
173174,2.4123,1.2409,61,629157,8635090679
173376,2.2172,1.2791,65,660800,6215057357
173978,2.3689,1.3117,175,699305,6644108708
174160,2.414,1.0804,67,749343,9745175640
174345,2.3851,1.1102,17,360659,7260420984
175179,2.3033,1.246,200,579258,2585551753
175201,2.0594,1.229,77,90249,9081742495
175701,2.0869,1.1655,19,203421,9764078387
176570,2.1188,1.2453,77,172661,5675632737
176816,2.3791,1.4007,7,196383,9060931313
176921,2.45,1.1296,16,217165,8670584806
177519,2.2061,1.1314,46,10551,3513732261
178001,2.4726,1.2899,76,323713,7097086698
178264,2.0091,1.314,10,196193,4105941603
178597,2.4366,1.163,18,287604,5231167070
178945,2.1294,1.1737,40,224908,9764078387
180089,2.0965,1.2963,8,556461,4235083075
180773,2.3162,1.0979,83,731114,3157530019
180988,2.2174,1.4413,45,769557,5801995519
181012,2.324,1.2989,40,649620,4033454985
181260,2.3104,1.1263,51,17754,3588028567
181686,2.3928,1.2385,20,180459,3177384238
182170,2.4525,1.2259,160,652787,9110155624
182239,2.1423,1.3093,69,592941,5256855055
182251,2.1255,1.2461,8,164291,3910675283
183039,2.1311,1.4088,62,373292,5991509451
183191,2.3185,1.2267,6,312905,4233534513
184005,2.0946,1.2418,24,485314,1380291167
184723,2.282,1.0391,59,673387,2209293971
185036,2.0017,1.21,76,139675,5156008172
185208,2.1628,1.0057,178,720514,6896906036
185411,2.1282,1.219,78,337030,7698840696
185608,2.1355,1.1206,71,426179,4691678575
186415,2.081,1.3657,21,551712,3297144794
187170,2.3505,1.3089,21,560638,2365554386
187228,2.0959,1.412,53,651986,7045241279
187509,2.1459,1.1281,65,718557,4691678575
187639,2.1683,1.137,72,233230,7463831010
187662,2.1529,1.0217,5,198509,3069630737
187801,2.2451,1.2665,27,571197,4899905409
188200,2.076,1.2971,72,30115,6854303457
188449,2.4696,1.2379,5,179403,3506473632
188652,2.1826,1.2419,64,372990,3506473632
188696,2.2415,1.0472,54,746383,2178744887
189544,2.2384,1.3285,58,20208,9496768941
189642,2.0504,1.1197,69,462303,4135085103
189758,2.2409,1.3022,120,576722,9864168878
190077,2.2011,1.165,8,206635,1841689795
190495,2.2965,1.1228,73,500296,6940115252
190745,2.2146,1.3336,1,324885,5335193549
190747,2.3135,1.3912,61,624031,6706708436
191476,2.0282,1.0825,17,173252,9303466586
191983,2.0714,1.1134,2,168141,3047002443
192174,2.0049,1.1351,15,256892,4868301943
192347,2.3355,1.4057,71,740031,5442484608
192505,2.1143,1.1788,159,315808,9764078387
192599,2.3534,1.3184,158,275986,6644108708
192921,2.0985,1.0337,103,568293,8687844587
193533,2.3015,1.3931,64,568135,6706708436
194767,2.4021,1.3504,79,188530,1188605085
194970,2.2671,1.2673,60,759567,6215057357
195558,2.1141,1.0505,38,659611,8106965613
195689,2.4325,1.3243,74,699318,4179997917
196254,2.326,1.4112,49,622447,7278590122
196683,2.1355,1.3082,26,371591,4182637650
197239,2.1465,1.3238,29,211405,8790355618
197260,2.0899,1.3626,155,653618,1577178217
198217,2.0251,1.4751,67,702184,6936126097
199112,2.3401,1.0908,78,160758,3157530019
199252,2.2372,1.0501,61,323139,7810150060
199745,2.4942,1.4851,20,49460,3683690538
199776,2.3475,1.3732,73,351294,4951395211
199958,2.1057,1.2435,52,170192,1380291167
200208,2.2097,1.1206,68,744114,5723607000
200624,2.2124,1.2716,352,681227,4606837364
200761,2.2914,1.2606,207,595044,2585551753
200935,2.4416,1.251,64,393001,2571962720
201999,2.3729,1.1272,65,22838,1326517230
202671,2.3312,1.1271,76,128755,6940115252
202752,2.0838,1.222,32,302538,2739683636
202861,2.2961,1.0457,72,245580,9373984994
203108,2.1742,1.4808,165,516555,4903903352
203186,2.4383,1.307,62,621991,7732742644
203557,2.0802,1.0632,68,499964,4336717042
203686,2.2959,1.42,65,192000,9487489239
204162,2.4609,1.0265,135,193841,5033348570
204294,2.0831,1.2453,64,677188,1380291167
204519,2.1161,1.0677,34,761757,8106965613
204660,2.298,1.4619,71,161585,7038685199
204687,2.2892,1.1179,71,742278,3588028567
205574,2.1097,1.4472,14,103577,6492209794
205611,2.065,1.3392,59,456692,4712992402
205934,2.4867,1.4467,67,559449,5801995519
206019,2.3485,1.3439,14,111711,6644108708
206396,2.4637,1.3081,303,143886,4168031615
207250,2.2424,1.3703,155,153457,2911888353
207402,2.4631,1.4038,63,433382,5442484608
207482,2.3348,1.4306,65,535779,7102786166
207519,2.3113,1.2415,2,40733,4233534513
207535,2.1049,1.0634,401,446199,7758967501
208708,2.1376,1.0764,11,530667,8904074677
209854,2.378,1.4202,34,494286,6099835393
209864,2.0837,1.4864,2,306174,2074133146
210138,2.2152,1.2659,119,784943,9131412124
210865,2.0368,1.1125,32,648232,9929729717
211288,2.3784,1.1247,158,635554,4691678575
212474,2.2532,1.3385,7,31204,9935755425
213541,2.2957,1.3919,115,777482,9060493227
213703,2.4147,1.0599,58,214260,5103329101
214183,2.3743,1.4675,59,652278,1853388867
214382,2.2438,1.154,10,79244,9602339655
214742,2.4845,1.2548,65,125071,7871954785
214835,2.3752,1.0869,160,424776,3740447345
215365,2.2927,1.3473,36,701441,8074414179
215500,2.2774,1.396,65,154679,6706708436
215620,2.075,1.0138,41,586139,8568187002
215631,2.1044,1.1091,168,203843,3047002443
215912,2.4101,1.0323,62,519526,4255947450
216026,2.3523,1.0946,4,23842,3157530019
216049,2.3151,1.2525,68,79584,2585551753
216105,2.0204,1.3146,40,324280,4435141062
216262,2.2035,1.112,2,378882,8679966649
216415,2.4624,1.4467,17,109248,9474162554
219277,2.3821,1.3337,34,729565,4321343495
219742,2.3024,1.2513,18,63764,2585551753
219812,2.3364,1.0474,29,302202,5103329101
219896,2.0471,1.4557,65,81049,9348286122
220252,2.1492,1.4528,60,344891,3439753948
220912,2.1093,1.4166,31,314316,5991509451
221645,2.4868,1.2633,219,216605,7871954785
222209,2.4898,1.4003,152,308663,1200418561
222935,2.4515,1.2903,24,712848,7097086698
223556,2.0729,1.1979,20,739868,3997372701
223822,2.1125,1.2562,15,122518,3910675283
224099,2.2113,1.2913,13,775152,4606837364
224490,2.24,1.2828,64,486275,1804841714
224503,2.3543,1.323,47,644683,6644108708
224895,2.1722,1.0951,70,643029,8904074677
225276,2.0324,1.144,67,462641,6505686905
225313,2.3122,1.2776,510,136694,6215057357
225380,2.4096,1.3624,85,708541,4659529541
225390,2.4104,1.3617,80,190597,1188605085
225752,2.0547,1.0594,46,495386,4336717042
225991,2.1265,1.0586,25,490565,2543504359
226343,2.0469,1.2484,65,168348,9081742495
